artifact_id,reference_path,reference_sha256,status,entrypoint,scope,notes
Figure_S06,03_figures/figS06/Figure_S06_L20_head_PET_Rg_LCC_vs_TfCut1.png,f649b2649a12b1e03c38dc3e6b0008b83ededc3742c9028ca9953bf330e91b0f,PASS,03_figures/figS06/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_S05,03_figures/figS05/Figure_S05_catalytic_ser_pet_min_distance.png,06cc0d774bb55bcb2ecbd1378ec141b7745b9a447c143617a20e0a8b2f120d13,PASS,03_figures/figS05/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_S07,03_figures/figS07/Figure_S07_HiC_structural_equivalents.png,7c287979934713cc432c651eeb5aec4a3c3af5cebc4f5f552a0e43d1eb33b190,PASS,03_figures/figS07/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_S08,03_figures/figS08/Figure_S08_hbond_evidence_composite.png,64d3c1b067c8eccf1bf5ebca05e22c93e691e1baecdd8271cc4317cb76c001da,PASS,03_figures/figS08/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_S09,03_figures/figS09/Figure_S09_Wloop_Calpha_RMSF.png,6d57025e1c7e2347f927a832943e70612ed8fbadcd5b0046c26444b8add56e50,PASS,03_figures/figS09/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Table_S01,02_postprocessing/results/tables/Supplementary_Table_S1_residue_correspondence.tex,ac82ec2b4c198283b9ffc4e1b0504aff64cbd368014d760aee2ef8435d9e4485,PASS,02_postprocessing/code/tables/build_tables.py --tables Table_S01,approved_curated_cells_to_exact_TeX,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Table_S02,02_postprocessing/results/tables/Supplementary_Table_S2_residue_contact_shifts.tex,5ff64420337d731e07b7db47e17008fd4637c17f9cda4c67c88bd5f09469c66c,PASS,02_postprocessing/code/tables/build_tables.py --tables Table_S02,registered_29_candidates_to_exact_TeX,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Table_S03,02_postprocessing/results/tables/Supplementary_Table_S3_structural_concordance.tex,685c20d4c28786db4cac1144ca3e6c2000f6d6ebc5cef8fc450eff4ca882904b,PASS,02_postprocessing/code/tables/build_tables.py --tables Table_S03,registered_measurements_to_exact_TeX,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Table_S04,02_postprocessing/results/tables/Supplementary_Table_S4_local_starting_coordinate_sensitivity.tex,4cf5ba85188a4dd94499ef78702a5cdeb1b0fc5178f980af979baffa06a47ca8,PASS,02_postprocessing/code/tables/build_tables.py --tables Table_S04,trajectory_summary_statistics_to_exact_TeX,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Table_S05,02_postprocessing/results/tables/Supplementary_Table_S5_per_ring_contact_geometry.tex,db6c1377ad085e2aeeef9292bf2c1126e423ccb2ad6b8c7eea8d2d1020c2f717,PASS,02_postprocessing/code/tables/build_supplementary_table_s5.py,declared_source_to_byte_exact_projection,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Data_S01,02_postprocessing/results/tables/Supplementary_Data_S1_residue_class_assignments.csv,c02913622f013b9d61b391bb3ca426e51ec7f41f6d999f3b19fdc2e1801d350e,PASS,02_postprocessing/code/tables/build_supplementary_data_s1.py,declared_source_to_byte_exact_projection,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Data_S02,02_postprocessing/results/tables/Supplementary_Data_S2_residue_contact_shift_candidates.csv,0cf877eb97253ac5ed0e04a743ae9d6b161a81d15167a342d2574c1f9a44c64c,PASS,02_postprocessing/code/tables/build_supplementary_data_s2.py,declared_source_to_byte_exact_projection,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Table_01,02_postprocessing/results/tables/Table_1_enzyme_panel.tex,82120ae019bfdac2abdbfa9914c10e08b317da479abf353cc076fda562736260,PASS,02_postprocessing/code/tables/build_tables.py --tables Table_01,approved_curated_cells_to_exact_TeX,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
PREP_METADATA,01_simulation/metadata/protein_preparation.csv,0de00252061af7a969a122e4ab78209970a855f1163e0b9aced55088d2e44879,PASS,01_simulation/verify_preparation.py,"six model identities, 42 systems, 126 seeds/PME rows; not MD execution","Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
